0,0
1,54
2,-98
3,123
4,-124
5,102
6,-59
7,6
8,48
9,-94
10,121
11,-125
12,105
13,-65
14,12
15,42
16,-89
17,119
18,-126
19,108
20,-70
21,18
22,36
23,-85
24,117
25,-126
26,112
27,-75
28,24
29,30
30,-80
31,114
32,-127
33,114
34,-80
35,30
36,24
37,-75
38,112
39,-126
40,117
41,-85
42,36
43,18
44,-70
45,108
46,-126
47,119
48,-89
49,42
50,12
51,-65
52,105
53,-125
54,121
55,-94
56,48
57,6
58,-59
59,102
60,-124
61,123
62,-98
63,54
64,0
65,-54
66,98
67,-123
68,124
69,-102
70,59
71,-6
72,-48
73,94
74,-121
75,125
76,-105
77,65
78,-12
79,-42
80,89
81,-119
82,126
83,-108
84,70
85,-18
86,-36
87,85
88,-117
89,126
90,-112
91,75
92,-24
93,-30
94,80
95,-114
96,127
97,-114
98,80
99,-30
100,-24
101,75
102,-112
103,126
104,-117
105,85
106,-36
107,-18
108,70
109,-108
110,126
111,-119
112,89
113,-42
114,-12
115,65
116,-105
117,125
118,-121
119,94
120,-48
121,-6
122,59
123,-102
124,124
125,-123
126,98
127,-54
128,0
129,54
130,-98
131,123
132,-124
133,102
134,-59
135,6
136,48
137,-94
138,121
139,-125
140,105
141,-65
142,12
143,42
144,-89
145,119
146,-126
147,108
148,-70
149,18
150,36
151,-85
152,117
153,-126
154,112
155,-75
156,24
157,30
158,-80
159,114
160,-127
161,114
162,-80
163,30
164,24
165,-75
166,112
167,-126
168,117
169,-85
170,36
171,18
172,-70
173,108
174,-126
175,119
176,-89
177,42
178,12
179,-65
180,105
181,-125
182,121
183,-94
184,48
185,6
186,-59
187,102
188,-124
189,123
190,-98
191,54
192,0
193,-54
194,98
195,-123
196,124
197,-102
198,59
199,-6
200,-48
201,94
202,-121
203,125
204,-105
205,65
206,-12
207,-42
208,89
209,-119
210,126
211,-108
212,70
213,-18
214,-36
215,85
216,-117
217,126
218,-112
219,75
220,-24
221,-30
222,80
223,-114
224,127
225,-114
226,80
227,-30
228,-24
229,75
230,-112
231,126
232,-117
233,85
234,-36
235,-18
236,70
237,-108
238,126
239,-119
240,89
241,-42
242,-12
243,65
244,-105
245,125
246,-121
247,94
248,-48
249,-6
250,59
251,-102
252,124
253,-123
254,98
255,-54
256,0
257,54
258,-98
259,123
260,-124
261,102
262,-59
263,6
264,48
265,-94
266,121
267,-125
268,105
269,-65
270,12
271,42
272,-89
273,119
274,-126
275,108
276,-70
277,18
278,36
279,-85
280,117
281,-126
282,112
283,-75
284,24
285,30
286,-80
287,114
288,-127
289,114
290,-80
291,30
292,24
293,-75
294,112
295,-126
296,117
297,-85
298,36
299,18
300,-70
301,108
302,-126
303,119
304,-89
305,42
306,12
307,-65
308,105
309,-125
310,121
311,-94
312,48
313,6
314,-59
315,102
316,-124
317,123
318,-98
319,54
320,0
321,-54
322,98
323,-123
324,124
325,-102
326,59
327,-6
328,-48
329,94
330,-121
331,125
332,-105
333,65
334,-12
335,-42
336,89
337,-119
338,126
339,-108
340,70
341,-18
342,-36
343,85
344,-117
345,126
346,-112
347,75
348,-24
349,-30
350,80
351,-114
352,127
353,-114
354,80
355,-30
356,-24
357,75
358,-112
359,126
360,-117
361,85
362,-36
363,-18
364,70
365,-108
366,126
367,-119
368,89
369,-42
370,-12
371,65
372,-105
373,125
374,-121
